Cincinnati 34, Philadelphia 13
Atlanta 34, NY Giants 0
Minnesota 36, St. Louis 22
Miami 24, Jacksonville 3
Green Bay 21, Chicago 13
Washington 38, Cleveland 21
Denver 34, Baltimore 17
Houston 29, Indianapolis 17
New Orleans 41, Tampa Bay 0
Arizona 38, Detroit 10
Carolina 31, San Diego 7
Seattle 50, Buffalo 17
Dallas 27, Pittsburgh 24
Oakland 15, Kansas City 0
San Francisco 41, New England 34
Tennessee 14, NY Jets 10
Atlanta 31, Detroit 18
New Orleans 34, Dallas 31
Green Bay 55, Tennessee 7
Indianapolis 20, Kansas City 13
Miami 24, Buffalo 10
San Diego 27, NY Jets 17
Washington 27, Philadelphia 20
Cincinnati 13, Pittsburgh 10
St. Louis 28, Tampa Bay 13
Carolina 17, Oakland 6
New England 23, Jacksonville 16
Minnesota 23, Houston 6
Denver 34, Cleveland 12
Chicago 28, Arizona 13
Baltimore 33, NY Giants 14
Seattle 42, San Francisco 13
Tampa Bay 22, Atlanta 17
Buffalo 28, NY Jets 9
Cincinnati 23, Baltimore 17
Chicago 26, Detroit 24
Tennessee 38, Jacksonville 20
Indianapolis 28, Houston 16
Carolina 44, New Orleans 38
NY Giants 42, Philadelphia 7
Pittsburgh 24, Cleveland 10
San Diego 24, Oakland 21
San Francisco 27, Arizona 13
Seattle 20, St. Louis 13
Minnesota 37, Green Bay 34
New England 28, Miami 0
Denver 38, Kansas City 3
Washington 28, Dallas 18
